Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.185E+03 
1.100E-03 9.191E+02 
1.200E-03 7.288E+02 
1.300E-03 5.888E+02 
1.400E-03 4.833E+02 
1.500E-03 4.023E+02 
1.600E-03 3.742E+03 
1.700E-03 3.277E+03 
1.800E-03 2.886E+03 
1.900E-03 2.552E+03 
2.000E-03 2.263E+03 
2.100E-03 2.011E+03 
2.300E-03 1.599E+03 
2.400E-03 1.432E+03 
2.600E-03 1.159E+03 
2.700E-03 1.047E+03 
2.900E-03 8.638E+02 
3.100E-03 7.212E+02 
3.300E-03 6.090E+02 
3.500E-03 5.192E+02 
3.700E-03 4.463E+02 
4.000E-03 3.605E+02 
4.200E-03 3.150E+02 
4.500E-03 2.600E+02 
4.800E-03 2.170E+02 
5.100E-03 1.829E+02 
5.400E-03 1.556E+02 
5.800E-03 1.270E+02 
6.200E-03 1.050E+02 
6.600E-03 8.775E+01 
7.000E-03 7.408E+01 
7.500E-03 6.069E+01 
7.900E-03 5.219E+01 
8.500E-03 4.218E+01 
9.000E-03 3.569E+01 
9.600E-03 2.955E+01 
1.020E-02 2.473E+01 
1.090E-02 2.035E+01 
1.160E-02 1.695E+01 
1.230E-02 1.426E+01 
1.310E-02 1.185E+01 
1.400E-02 9.744E+00 
1.490E-02 8.113E+00 
1.580E-02 6.830E+00 
1.690E-02 5.609E+00 
1.800E-02 4.667E+00 
1.910E-02 3.930E+00 
2.040E-02 3.252E+00 
2.170E-02 2.727E+00 
2.310E-02 2.286E+00 
2.460E-02 1.919E+00 
2.620E-02 1.615E+00 
2.790E-02 1.364E+00 
2.970E-02 1.158E+00 
3.160E-02 9.883E-01 
3.360E-02 8.490E-01 
3.580E-02 7.297E-01 
3.810E-02 6.326E-01 
4.060E-02 5.506E-01 
4.320E-02 4.841E-01 
4.600E-02 4.281E-01 
4.900E-02 3.814E-01 
5.220E-02 3.424E-01 
5.560E-02 3.100E-01 
5.920E-02 2.830E-01 
6.300E-02 2.605E-01 
6.710E-02 2.413E-01 
7.140E-02 2.253E-01 
7.610E-02 2.113E-01 
8.100E-02 1.996E-01 
8.620E-02 1.895E-01 
9.180E-02 1.807E-01 
9.780E-02 1.729E-01 
1.041E-01 1.662E-01 
1.108E-01 1.602E-01 
1.180E-01 1.547E-01 
1.257E-01 1.497E-01 
1.338E-01 1.452E-01 
1.425E-01 1.410E-01 
1.517E-01 1.372E-01 
1.615E-01 1.335E-01 
1.720E-01 1.300E-01 
1.831E-01 1.267E-01 
1.950E-01 1.235E-01 
2.076E-01 1.205E-01 
2.211E-01 1.175E-01 
2.354E-01 1.147E-01 
2.507E-01 1.119E-01 
2.669E-01 1.092E-01 
2.842E-01 1.065E-01 
3.026E-01 1.039E-01 
3.222E-01 1.013E-01 
3.431E-01 9.877E-02 
3.653E-01 9.628E-02 
3.890E-01 9.384E-02 
4.142E-01 9.143E-02 
4.410E-01 8.907E-02 
4.696E-01 8.674E-02 
5.000E-01 8.445E-02 
