Photon    Tot. w/  
Energy    Coherent 

1.000E-03 1.214E+03 
1.100E-03 9.473E+02 
1.200E-03 7.531E+02 
1.300E-03 6.088E+02 
1.400E-03 5.205E+02 
1.500E-03 4.340E+02 
1.600E-03 3.723E+03 
1.700E-03 3.259E+03 
1.800E-03 2.870E+03 
1.900E-03 2.550E+03 
2.000E-03 2.261E+03 
2.100E-03 2.009E+03 
2.300E-03 1.598E+03 
2.400E-03 1.431E+03 
2.600E-03 1.158E+03 
2.700E-03 1.047E+03 
2.900E-03 8.631E+02 
3.100E-03 7.206E+02 
3.300E-03 6.085E+02 
3.500E-03 5.188E+02 
3.700E-03 4.460E+02 
4.000E-03 3.602E+02 
4.200E-03 3.148E+02 
4.500E-03 2.598E+02 
4.800E-03 2.168E+02 
5.100E-03 1.831E+02 
5.400E-03 1.557E+02 
5.800E-03 1.271E+02 
6.200E-03 1.052E+02 
6.600E-03 8.814E+01 
7.000E-03 7.441E+01 
7.500E-03 6.159E+01 
7.900E-03 5.299E+01 
8.500E-03 4.284E+01 
9.000E-03 3.639E+01 
9.600E-03 3.014E+01 
1.020E-02 2.538E+01 
1.090E-02 2.090E+01 
1.160E-02 1.741E+01 
1.230E-02 1.466E+01 
1.310E-02 1.218E+01 
1.400E-02 1.003E+01 
1.490E-02 8.351E+00 
1.580E-02 7.033E+00 
1.690E-02 5.778E+00 
1.800E-02 4.810E+00 
1.910E-02 4.051E+00 
2.040E-02 3.352E+00 
2.170E-02 2.811E+00 
2.310E-02 2.357E+00 
2.460E-02 1.978E+00 
2.620E-02 1.665E+00 
2.790E-02 1.406E+00 
2.970E-02 1.193E+00 
3.160E-02 1.018E+00 
3.360E-02 8.735E-01 
3.580E-02 7.501E-01 
3.810E-02 6.497E-01 
4.060E-02 5.647E-01 
4.320E-02 4.959E-01 
4.600E-02 4.380E-01 
4.900E-02 3.896E-01 
5.220E-02 3.492E-01 
5.560E-02 3.156E-01 
5.920E-02 2.877E-01 
6.300E-02 2.644E-01 
6.710E-02 2.446E-01 
7.140E-02 2.280E-01 
7.610E-02 2.135E-01 
8.100E-02 2.015E-01 
8.620E-02 1.911E-01 
9.180E-02 1.820E-01 
9.780E-02 1.740E-01 
1.041E-01 1.671E-01 
1.108E-01 1.609E-01 
1.180E-01 1.553E-01 
1.257E-01 1.503E-01 
1.338E-01 1.457E-01 
1.425E-01 1.414E-01 
1.517E-01 1.375E-01 
1.615E-01 1.338E-01 
1.720E-01 1.302E-01 
1.831E-01 1.269E-01 
1.950E-01 1.237E-01 
2.076E-01 1.206E-01 
2.211E-01 1.176E-01 
2.354E-01 1.148E-01 
2.507E-01 1.120E-01 
2.669E-01 1.092E-01 
2.842E-01 1.065E-01 
3.026E-01 1.039E-01 
3.222E-01 1.013E-01 
3.431E-01 9.880E-02 
3.653E-01 9.632E-02 
3.890E-01 9.387E-02 
4.142E-01 9.146E-02 
4.410E-01 8.909E-02 
4.696E-01 8.676E-02 
5.000E-01 8.447E-02 
