Photon    Tot. w/  
Energy    Coherent 

1.000E-03 2.745E+03 
1.100E-03 2.134E+03 
1.200E-03 1.696E+03 
1.300E-03 1.373E+03 
1.400E-03 1.129E+03 
1.500E-03 9.411E+02 
1.600E-03 7.907E+02 
1.700E-03 6.714E+02 
1.800E-03 5.755E+02 
1.900E-03 4.974E+02 
2.000E-03 4.332E+02 
2.100E-03 3.790E+02 
2.300E-03 2.956E+02 
2.400E-03 2.631E+02 
2.600E-03 2.114E+02 
2.700E-03 1.908E+02 
2.900E-03 1.404E+03 
3.100E-03 1.236E+03 
3.300E-03 1.068E+03 
3.500E-03 9.158E+02 
3.700E-03 7.849E+02 
4.000E-03 6.308E+02 
4.200E-03 5.525E+02 
4.500E-03 4.604E+02 
4.800E-03 3.890E+02 
5.100E-03 3.316E+02 
5.400E-03 2.845E+02 
5.800E-03 2.343E+02 
6.200E-03 1.951E+02 
6.600E-03 1.643E+02 
7.000E-03 1.396E+02 
7.500E-03 1.153E+02 
7.900E-03 9.969E+01 
8.500E-03 8.118E+01 
9.000E-03 6.910E+01 
9.600E-03 5.756E+01 
1.020E-02 4.844E+01 
1.090E-02 4.008E+01 
1.160E-02 3.354E+01 
1.230E-02 2.834E+01 
1.310E-02 2.364E+01 
1.400E-02 1.951E+01 
1.490E-02 1.629E+01 
1.580E-02 1.375E+01 
1.690E-02 1.131E+01 
1.800E-02 9.421E+00 
1.910E-02 7.934E+00 
2.040E-02 6.558E+00 
2.170E-02 5.487E+00 
2.310E-02 4.584E+00 
2.460E-02 3.829E+00 
2.620E-02 3.201E+00 
2.790E-02 2.681E+00 
2.970E-02 2.252E+00 
3.160E-02 1.898E+00 
3.360E-02 1.607E+00 
3.580E-02 1.357E+00 
3.810E-02 1.153E+00 
4.060E-02 9.812E-01 
4.320E-02 8.418E-01 
4.600E-02 7.247E-01 
4.900E-02 6.269E-01 
5.220E-02 5.456E-01 
5.560E-02 4.783E-01 
5.920E-02 4.226E-01 
6.300E-02 3.765E-01 
6.710E-02 3.375E-01 
7.140E-02 3.053E-01 
7.610E-02 2.776E-01 
8.100E-02 2.548E-01 
8.620E-02 2.355E-01 
9.180E-02 2.190E-01 
9.780E-02 2.048E-01 
1.041E-01 1.929E-01 
1.108E-01 1.825E-01 
1.180E-01 1.735E-01 
1.257E-01 1.655E-01 
1.338E-01 1.586E-01 
1.425E-01 1.523E-01 
1.517E-01 1.467E-01 
1.615E-01 1.417E-01 
1.720E-01 1.370E-01 
1.831E-01 1.327E-01 
1.950E-01 1.287E-01 
2.076E-01 1.250E-01 
2.211E-01 1.215E-01 
2.354E-01 1.181E-01 
2.507E-01 1.149E-01 
2.669E-01 1.118E-01 
2.842E-01 1.089E-01 
3.026E-01 1.060E-01 
3.222E-01 1.032E-01 
3.431E-01 1.005E-01 
3.653E-01 9.786E-02 
3.890E-01 9.529E-02 
4.142E-01 9.277E-02 
4.410E-01 9.031E-02 
4.696E-01 8.790E-02 
5.000E-01 8.554E-02 
