H-2(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.00000E-05 3.42030
1.25000E-05 3.41763
1.50000E-05 3.41566
2.00000E-05 3.41289
2.75000E-05 3.41026
3.50000E-05 3.40852
4.25000E-05 3.40727
5.00000E-05 3.40631
6.25000E-05 3.40512
7.50000E-05 3.40424
0.000100000 3.40300
0.000125000 3.40216
0.000150000 3.40154
0.000200000 3.40066
0.000275000 3.39983
0.000350000 3.39928
0.000425000 3.39889
0.000500000 3.39858
0.000625000 3.39821
0.000750000 3.39793
0.00100000 3.39754
0.00125000 3.39727
0.00150000 3.39707
0.00200000 3.39680
0.00275000 3.39653
0.00350000 3.39636
0.00425000 3.39623
0.00500000 3.39614
0.00625000 3.39602
0.00750000 3.39593
0.0100000 3.39581
0.0125000 3.39572
0.0150000 3.39566
0.0200000 3.39557
0.0253000 3.39551
0.0314750 3.39546
0.0376500 3.39542
0.0500000 3.39536
0.0625000 3.39533
0.0750000 3.39530
0.100000 3.39526
0.125000 3.39523
0.150000 3.39521
0.200000 3.39518
0.275000 3.39516
0.350000 3.39514
0.500000 3.39512
0.750000 3.39510
1.00000 3.39508
1.50000 3.39507
2.00000 3.39506
2.75000 3.39505
3.50000 3.39505
5.00000 3.39504
7.50000 3.39503
10.0000 3.39503
15.0000 3.39503
20.0000 3.39502
27.5000 3.39502
35.0000 3.39502
50.0000 3.39501
75.0000 3.39501
100.000 3.39501
150.000 3.39500
200.000 3.39500
275.000 3.39499
350.000 3.39498
500.000 3.39496
750.000 3.39493
1000.00 3.39490
1500.00 3.39485
2000.00 3.39480
3000.00 3.39440
4000.00 3.38940
5000.00 3.38500
7500.00 3.37600
10000.0 3.36700
15000.0 3.35450
20000.0 3.34200
30000.0 3.32100
40000.0 3.30200
50000.0 3.28500
60000.0 3.27000
70000.0 3.25600
80000.0 3.24300
90000.0 3.23100
100000 3.22000
120000 3.19864
140000 3.17800
160000 3.15864
180000 3.14009
200000 3.12200
225000 3.10084
250000 3.08200
275000 3.06515
300000 3.05000
350000 3.02761
400000 3.01200
450000 3.00007
500000 2.98900
550000 2.97721
600000 2.96600
650000 2.95539
700000 2.94500
750000 2.93382
800000 2.92200
850000 2.91000
900000 2.89800
950000 2.88545
1.00000E+06 2.87250
1.20000E+06 2.81779
1.50000E+06 2.73000
1.75000E+06 2.64060
1.95000E+06 2.55996
2.00000E+06 2.54000
2.25000E+06 2.44114
2.45000E+06 2.36390
2.50000E+06 2.34500
2.75000E+06 2.25377
3.00000E+06 2.16000
3.27000E+06 2.05748
3.33900E+06 2.03260
3.33929E+06 2.03249
3.40000E+06 2.01115
3.50000E+06 1.97715
3.75000E+06 1.89901
4.00000E+06 1.83100
4.25000E+06 1.77169
4.50000E+06 1.71813
5.00000E+06 1.62200
5.50000E+06 1.53618
5.60000E+06 1.52021
6.00000E+06 1.46000
6.50000E+06 1.39191
7.00000E+06 1.33000
7.25000E+06 1.30066
7.50000E+06 1.27226
7.85000E+06 1.23494
8.00000E+06 1.22000
8.50000E+06 1.17610
9.00000E+06 1.13500
9.50000E+06 1.09203
9.70000E+06 1.07495
1.00000E+07 1.05000
1.05000E+07 1.01089
1.10000E+07 0.975000
1.15000E+07 0.942286
1.17500E+07 0.926892
1.20000E+07 0.912000
1.21700E+07 0.901942
1.22500E+07 0.897182
1.25000E+07 0.882436
1.30000E+07 0.855000
1.35000E+07 0.831666
1.40000E+07 0.810000
1.41000E+07 0.805658
1.41700E+07 0.802628
1.45000E+07 0.788636
1.50000E+07 0.768000
1.55000E+07 0.747265
1.60000E+07 0.728000
1.65000E+07 0.711039
1.70000E+07 0.695000
1.75000E+07 0.679841
1.80000E+07 0.665000
1.85000E+07 0.649789
1.90000E+07 0.635000
1.95000E+07 0.621192
2.00000E+07 0.608000
2.10000E+07 0.582584
2.20000E+07 0.558337
2.30000E+07 0.535314
2.40000E+07 0.513530
2.50000E+07 0.492971
2.60000E+07 0.473602
2.70000E+07 0.455376
2.80000E+07 0.438239
2.90000E+07 0.422133
3.00000E+07 0.407000
3.10000E+07 0.392791
3.20000E+07 0.379435
3.30000E+07 0.366844
3.40000E+07 0.354945
3.50000E+07 0.343673
3.60000E+07 0.332973
3.70000E+07 0.322796
3.80000E+07 0.313099
3.90000E+07 0.303845
4.00000E+07 0.295000
4.20000E+07 0.278580
4.40000E+07 0.263758
4.60000E+07 0.250319
4.63000E+07 0.248411
4.80000E+07 0.238084
5.00000E+07 0.226904
5.20000E+07 0.216652
5.30000E+07 0.211840
5.40000E+07 0.207221
5.60000E+07 0.198519
5.80000E+07 0.190468
6.00000E+07 0.183000
6.20000E+07 0.176038
6.40000E+07 0.169524
6.60000E+07 0.163424
6.80000E+07 0.157707
7.00000E+07 0.152345
7.20000E+07 0.147310
7.40000E+07 0.142580
7.60000E+07 0.138132
7.80000E+07 0.133944
8.00000E+07 0.130000
8.20000E+07 0.126381
8.40000E+07 0.123136
8.60000E+07 0.120203
8.80000E+07 0.117531
9.00000E+07 0.115077
9.20000E+07 0.112806
9.40000E+07 0.110686
9.60000E+07 0.108693
9.80000E+07 0.106804
1.00000E+08 0.105000
1.02000E+08 0.103216
1.04000E+08 0.101437
1.06000E+08 0.0996791
1.08000E+08 0.0979592
1.10000E+08 0.0962894
1.12000E+08 0.0946802
1.14000E+08 0.0931398
1.16000E+08 0.0916749
1.18000E+08 0.0902906
1.20000E+08 0.0889906
1.22000E+08 0.0877626
1.24000E+08 0.0865944
1.26000E+08 0.0854799
1.28000E+08 0.0844136
1.29000E+08 0.0838969
1.30000E+08 0.0833905
1.32000E+08 0.0824062
1.34000E+08 0.0814566
1.36000E+08 0.0805381
1.38000E+08 0.0796476
1.40000E+08 0.0787821
1.42000E+08 0.0779413
1.44000E+08 0.0771363
1.46000E+08 0.0763688
1.48000E+08 0.0756386
1.50000E+08 0.0749457
