Photon    Tot. w/  
Energy    Coherent 

1.000E-03 4.077E+03 
1.100E-03 3.166E+03 
1.200E-03 2.512E+03 
1.300E-03 2.027E+03 
1.400E-03 1.660E+03 
1.500E-03 1.376E+03 
1.600E-03 1.152E+03 
1.700E-03 9.739E+02 
1.800E-03 8.303E+02 
1.900E-03 7.134E+02 
2.000E-03 6.173E+02 
2.100E-03 5.377E+02 
2.300E-03 4.150E+02 
2.400E-03 3.675E+02 
2.600E-03 2.919E+02 
2.700E-03 2.618E+02 
2.900E-03 2.128E+02 
3.100E-03 1.753E+02 
3.300E-03 1.460E+02 
3.500E-03 1.228E+02 
3.700E-03 1.042E+02 
4.000E-03 8.277E+01 
4.200E-03 7.162E+01 
4.500E-03 5.834E+01 
4.800E-03 4.812E+01 
5.100E-03 4.014E+01 
5.400E-03 3.382E+01 
5.800E-03 2.729E+01 
6.200E-03 2.233E+01 
6.600E-03 1.850E+01 
7.000E-03 1.550E+01 
7.500E-03 1.259E+01 
7.900E-03 1.077E+01 
8.500E-03 8.649E+00 
9.000E-03 7.291E+00 
9.600E-03 6.016E+00 
1.020E-02 5.027E+00 
1.090E-02 4.135E+00 
1.160E-02 3.449E+00 
1.230E-02 2.912E+00 
1.310E-02 2.434E+00 
1.400E-02 2.021E+00 
1.490E-02 1.703E+00 
1.580E-02 1.455E+00 
1.690E-02 1.221E+00 
1.800E-02 1.042E+00 
1.910E-02 9.020E-01 
2.040E-02 7.740E-01 
2.170E-02 6.752E-01 
2.310E-02 5.926E-01 
2.460E-02 5.238E-01 
2.620E-02 4.669E-01 
2.790E-02 4.199E-01 
2.970E-02 3.812E-01 
3.160E-02 3.491E-01 
3.360E-02 3.227E-01 
3.580E-02 2.998E-01 
3.810E-02 2.809E-01 
4.060E-02 2.647E-01 
4.320E-02 2.513E-01 
4.600E-02 2.398E-01 
4.900E-02 2.298E-01 
5.220E-02 2.212E-01 
5.560E-02 2.137E-01 
5.920E-02 2.072E-01 
6.300E-02 2.014E-01 
6.710E-02 1.961E-01 
7.140E-02 1.914E-01 
7.610E-02 1.869E-01 
8.100E-02 1.829E-01 
8.620E-02 1.791E-01 
9.180E-02 1.754E-01 
9.780E-02 1.719E-01 
1.041E-01 1.686E-01 
1.108E-01 1.654E-01 
1.180E-01 1.622E-01 
1.257E-01 1.591E-01 
1.338E-01 1.560E-01 
1.425E-01 1.530E-01 
1.517E-01 1.500E-01 
1.615E-01 1.470E-01 
1.720E-01 1.441E-01 
1.831E-01 1.411E-01 
1.950E-01 1.382E-01 
2.076E-01 1.353E-01 
2.211E-01 1.324E-01 
2.354E-01 1.295E-01 
2.507E-01 1.267E-01 
2.669E-01 1.239E-01 
2.842E-01 1.210E-01 
3.026E-01 1.183E-01 
3.222E-01 1.155E-01 
3.431E-01 1.127E-01 
3.653E-01 1.100E-01 
3.890E-01 1.073E-01 
4.142E-01 1.047E-01 
4.410E-01 1.020E-01 
4.696E-01 9.944E-02 
5.000E-01 9.687E-02 
